LoanID,LoanAmount,Income,Age,CreditScore,ExistingEMI,EmploymentStatus,Tenure,MaritalStatus,Dependents,RepaymentHistory,Purpose,Stage,DelinquencyCount12M,DefaultStatus
1,126958,26125,41,782,16638,Employed,22,Widowed,2,Good,Car Loan,Disbursement,1,0
2,676155,7655,31,830,11937,Unemployed,55,Single,0,Good,Car Loan,Disbursement,1,0
3,136932,4448,23,826,2112,Retired,39,Widowed,0,Good,Home Loan,File,2,0
4,370838,16185,29,478,3683,Self-Employed,11,Widowed,3,Poor,Personal Loan,Lead,0,1
5,264178,19211,63,827,10679,Unemployed,11,Married,1,Good,Business Loan,Disbursement,0,0
6,649167,24280,39,608,7849,Retired,42,Divorced,4,Good,Business Loan,Lead,0,0
7,115268,35971,62,322,5253,Self-Employed,14,Single,4,Good,Business Loan,Disbursement,3,0
8,737180,8798,43,754,6211,Employed,6,Married,3,Good,Personal Loan,Lead,1,0
9,59886,19228,36,388,9329,Retired,26,Single,4,Good,Business Loan,Disbursement,3,0
10,142337,37739,24,539,396,Retired,26,Married,4,Good,Personal Loan,Lead,2,0
11,526430,36036,52,535,13376,Self-Employed,11,Single,4,Good,Car Loan,Sanction,2,0
12,959698,31309,21,472,16599,Unemployed,13,Widowed,2,Good,Business Loan,File,0,0
13,92498,6744,24,306,6773,Self-Employed,55,Widowed,3,Good,Car Loan,File,3,0
14,904159,16548,46,660,1929,Self-Employed,30,Married,1,Good,Home Loan,Lead,1,0
15,917756,5530,47,383,1338,Retired,56,Single,4,Poor,Home Loan,Sanction,4,1
16,180203,39853,60,512,5993,Unemployed,18,Single,3,Poor,Personal Loan,File,2,1
17,196335,10995,36,676,1129,Retired,15,Widowed,1,Good,Personal Loan,Lead,2,0
18,283167,26703,50,770,2060,Unemployed,50,Married,2,Good,Business Loan,Sanction,2,0
19,46090,27527,58,601,7156,Retired,32,Divorced,0,Good,Car Loan,Disbursement,4,0
20,334365,37032,53,844,9955,Employed,23,Divorced,2,Poor,Car Loan,Sanction,1,0
21,69820,33430,36,333,5273,Retired,29,Divorced,4,Good,Personal Loan,Disbursement,1,0
22,792201,2019,53,646,14382,Unemployed,23,Single,4,Good,Business Loan,Disbursement,2,0
23,326879,25241,40,619,6952,Unemployed,53,Divorced,4,Good,Personal Loan,Lead,4,0
24,723315,9296,51,743,16574,Retired,53,Divorced,4,Good,Business Loan,Lead,1,0
25,332069,18333,47,564,19208,Self-Employed,58,Divorced,4,Good,Car Loan,Sanction,2,0
26,781997,20628,52,548,12350,Unemployed,58,Divorced,4,Good,Home Loan,Disbursement,1,0
27,204041,21367,42,564,16332,Unemployed,43,Divorced,0,Good,Car Loan,Lead,4,0
28,796743,13755,56,842,16034,Unemployed,41,Widowed,1,Good,Car Loan,Disbursement,3,0
29,108355,37493,47,600,6102,Self-Employed,44,Widowed,1,Good,Personal Loan,Lead,4,0
30,240796,23750,45,738,12900,Retired,7,Widowed,3,Good,Home Loan,File,4,0
31,219176,15025,22,761,17117,Retired,57,Single,0,Good,Personal Loan,Disbursement,2,0
32,189779,6887,58,797,8302,Retired,21,Married,4,Good,Business Loan,Disbursement,2,0
33,352449,15658,43,724,13798,Unemployed,6,Widowed,0,Good,Car Loan,File,4,0
34,426909,7226,32,676,11329,Unemployed,18,Divorced,2,Good,Car Loan,Lead,1,0
35,994436,37596,57,838,19845,Employed,47,Married,3,Good,Personal Loan,Sanction,2,0
36,263795,5988,57,491,9794,Retired,47,Single,4,Good,Home Loan,Disbursement,1,0
37,491232,23663,41,804,1471,Unemployed,56,Single,0,Poor,Home Loan,File,2,0
38,922040,20853,62,487,18301,Self-Employed,20,Married,3,Poor,Business Loan,File,3,1
39,505186,20014,31,611,6205,Retired,37,Married,1,Poor,Business Loan,Lead,1,0
40,161730,16239,41,626,8678,Employed,21,Single,0,Good,Business Loan,Lead,0,0
41,875910,38046,57,487,6605,Self-Employed,27,Divorced,0,Average,Personal Loan,Sanction,4,0
42,389681,20422,24,520,18893,Unemployed,54,Widowed,3,Average,Business Loan,Sanction,1,0
43,154503,23816,46,765,5838,Self-Employed,34,Married,0,Good,Personal Loan,Disbursement,2,0
44,659811,29055,40,498,365,Unemployed,20,Divorced,0,Average,Car Loan,Sanction,4,0
45,532035,8470,27,387,2661,Retired,31,Divorced,2,Good,Personal Loan,Sanction,3,0
46,653143,25461,58,743,209,Employed,17,Married,2,Good,Personal Loan,File,0,0
47,457366,6761,47,641,15898,Employed,36,Widowed,4,Good,Business Loan,Disbursement,3,0
48,70725,23603,37,447,6957,Self-Employed,58,Married,4,Good,Business Loan,Disbursement,3,0
49,134981,36155,52,689,15953,Employed,17,Divorced,3,Good,Car Loan,Lead,2,0
50,89654,23996,30,427,10439,Unemployed,25,Single,1,Good,Business Loan,File,4,0
